label,quantile,run_log10_s,reference_log10_s,shift_dex,grid,seed,mpi_size
C-g1000-s20260724-r4,0.1,2.385132083063825,2.3856583394902815,-0.0005262564264563174,1000,20260724,4
C-g1000-s20260724-r4,0.25,3.5898304265848218,3.589462831956626,0.0003675946281957998,1000,20260724,4
C-g1000-s20260724-r4,0.5,4.230214230842331,4.234375965014967,-0.004161734172635434,1000,20260724,4
C-g1000-s20260724-r4,0.75,4.916445563238822,4.92987604261806,-0.013430479379238136,1000,20260724,4
C-g1000-s20260724-r4,0.9,5.628938639993137,5.679785263627418,-0.05084662363428105,1000,20260724,4
C-g1000-s20260724-r4,0.95,6.1303525044011105,6.199334872192218,-0.06898236779110789,1000,20260724,4
C-g1000-s20260724-r4,0.99,7.104202856411738,7.37666592630541,-0.2724630698936723,1000,20260724,4
C-g2000-s20260722-r4,0.01,1.2260301692052402,1.1934697320005025,0.03256043720473767,2000,20260722,4
C-g2000-s20260722-r4,0.05,1.9368966023555705,1.943466850837456,-0.006570248481885477,2000,20260722,4
C-g2000-s20260722-r4,0.1,2.3836077122236023,2.3856583394902815,-0.0020506272666791503,2000,20260722,4
C-g2000-s20260722-r4,0.25,3.5920159152438966,3.589462831956626,0.0025530832872706632,2000,20260722,4
C-g2000-s20260722-r4,0.5,4.235854731012088,4.234375965014967,0.0014787659971213785,2000,20260722,4
C-g2000-s20260722-r4,0.75,4.912550391919263,4.92987604261806,-0.017325650698797546,2000,20260722,4
C-g2000-s20260722-r4,0.9,5.691348487323909,5.679785263627418,0.011563223696490432,2000,20260722,4
C-g2000-s20260722-r4,0.95,6.1794182010561265,6.199334872192218,-0.019916671136091857,2000,20260722,4
C-g2000-s20260722-r4,0.99,7.243460267011581,7.37666592630541,-0.13320565929382955,2000,20260722,4
C-g2000-s20260723-r4,0.01,1.2252204975766119,1.1934697320005025,0.03175076557610934,2000,20260723,4
C-g2000-s20260723-r4,0.05,1.9312907603982086,1.943466850837456,-0.012176090439247389,2000,20260723,4
C-g2000-s20260723-r4,0.1,2.359482771079299,2.3856583394902815,-0.026175568410982564,2000,20260723,4
C-g2000-s20260723-r4,0.25,3.560075208939025,3.589462831956626,-0.029387623017600895,2000,20260723,4
C-g2000-s20260723-r4,0.5,4.196938839284893,4.234375965014967,-0.037437125730073184,2000,20260723,4
C-g2000-s20260723-r4,0.75,4.877721953084103,4.92987604261806,-0.05215408953395695,2000,20260723,4
